	locus_tag
693	MtrunA17_Chr1g0151001
694	MtrunA17_Chr1g0151011
695	MtrunA17_Chr1g0151021
696	MtrunA17_Chr1g0151031
697	MtrunA17_Chr1g0151041
698	MtrunA17_Chr1g0151051
699	MtrunA17_Chr1g0151061
700	MtrunA17_Chr1g0151071
701	MtrunA17_Chr1g0151081
702	MtrunA17_Chr1g0151091
703	MtrunA17_Chr1g0151101
704	MtrunA17_Chr1g0151111
705	MtrunA17_Chr1g0151121
706	MtrunA17_Chr1g0151131
707	MtrunA17_Chr1g0151141
708	MtrunA17_Chr1g0151151
709	MtrunA17_Chr1g0151161
710	MtrunA17_Chr1g0151181
711	MtrunA17_Chr1g0151191
712	MtrunA17_Chr1g0151201
713	MtrunA17_Chr1g0151211
714	MtrunA17_Chr1g0151221
715	MtrunA17_Chr1g0151231
716	MtrunA17_Chr1g0151241
717	MtrunA17_Chr1g0151251
718	MtrunA17_Chr1g0151261
719	MtrunA17_Chr1g0151271
720	MtrunA17_Chr1g0151281
721	MtrunA17_Chr1g0151291
722	MtrunA17_Chr1g0151301
723	MtrunA17_Chr1g0151321
724	MtrunA17_Chr1g0151341
725	MtrunA17_Chr1g0151351
726	MtrunA17_Chr1g0151361
727	MtrunA17_Chr1g0151371
728	MtrunA17_Chr1g0151381
729	MtrunA17_Chr1g0151391
730	MtrunA17_Chr1g0151401
731	MtrunA17_Chr1g0151411
732	MtrunA17_Chr1g0151421
733	MtrunA17_Chr1g0151431
734	MtrunA17_Chr1g0151441
735	MtrunA17_Chr1g0151451
736	MtrunA17_Chr1g0151461
737	MtrunA17_Chr1g0151471
738	MtrunA17_Chr1g0151481
739	MtrunA17_Chr1g0151491
740	MtrunA17_Chr1g0151501
741	MtrunA17_Chr1g0151511
742	MtrunA17_Chr1g0151521
743	MtrunA17_Chr1g0151531
744	MtrunA17_Chr1g0151541
745	MtrunA17_Chr1g0151551
746	MtrunA17_Chr1g0151561
747	MtrunA17_Chr1g0151571
748	MtrunA17_Chr1g0151581
749	MtrunA17_Chr1g0151591
750	MtrunA17_Chr1g0151601
751	MtrunA17_Chr1g0151611
752	MtrunA17_Chr1g0151621
753	MtrunA17_Chr1g0151631
754	MtrunA17_Chr1g0151641
755	MtrunA17_Chr1g0151651
756	MtrunA17_Chr1g0151661
757	MtrunA17_Chr1g0151671
758	MtrunA17_Chr1g0151681
759	MtrunA17_Chr1g0151691
760	MtrunA17_Chr1g0151701
761	MtrunA17_Chr1g0151711
762	MtrunA17_Chr1g0151721
763	MtrunA17_Chr1g0151731
764	MtrunA17_Chr1g0151751
765	MtrunA17_Chr1g0151761
